Document ID,cluster_id,stakeholder_type,NIST AI RMF,NIST AI 100-1,NIST SP 800-*,EU AI Act,EO 14110,EO 14141,OMB M-*,ISO/IEC 42001,ISO/IEC 23894,MITRE ATLAS,OWASP,C2PA
NIST-2025-0035-0208,201,AIStartup,0,0,0,0,0,0,0,0,0,0,1,0
NIST-2025-0035-0209,202,AIStartup,0,0,0,0,0,0,0,0,0,0,0,0
NIST-2025-0035-0210,203,Individual,1,0,0,0,0,0,0,0,0,0,0,0
NIST-2025-0035-0211,204,AIStartup,1,1,1,0,1,0,0,0,0,0,0,0
NIST-2025-0035-0212,205,Individual,0,0,0,0,0,0,0,0,0,0,0,0
NIST-2025-0035-0213,206,Individual,1,0,0,0,0,0,0,0,0,0,1,0
NIST-2025-0035-0214,207,Individual,0,0,0,0,0,0,0,0,0,0,0,0
NIST-2025-0035-0215,208,Individual,1,0,0,0,0,0,0,0,0,1,1,0
NIST-2025-0035-0216,209,Other,0,0,0,0,0,0,0,1,0,0,0,0
NIST-2025-0035-0023,21,Other,1,0,1,0,0,0,0,0,0,0,0,0
NIST-2025-0035-0217,210,Individual,0,0,0,0,0,0,0,0,0,0,0,0
NIST-2025-0035-0218,211,AcademicOrResearchInstitute,1,0,1,0,0,0,0,0,0,1,1,0
NIST-2025-0035-0219,212,Individual,0,0,0,0,0,0,0,0,0,0,0,0
NIST-2025-0035-0220,213,StandardsOrProfessionalBody,1,0,0,1,0,0,0,0,0,0,0,0
NIST-2025-0035-0221,214,AcademicOrResearchInstitute,0,0,0,0,0,0,0,0,0,0,0,0
NIST-2025-0035-0222,215,Individual,0,0,0,0,0,0,0,0,0,0,0,0
NIST-2025-0035-0223,216,Other,1,0,1,0,0,0,0,0,0,0,1,0
NIST-2025-0035-0224,217,Individual,0,0,0,0,0,0,0,0,0,0,0,0
NIST-2025-0035-0225,218,Other,0,0,0,1,0,0,0,0,0,0,1,0
NIST-2025-0035-0226,219,Individual,0,0,1,1,0,0,0,0,0,0,1,0
NIST-2025-0035-0024,22,AIStartup,1,0,1,0,0,0,0,0,0,0,0,0
NIST-2025-0035-0227,220,Individual,1,0,0,0,0,0,0,0,0,0,0,0
NIST-2025-0035-0228,221,Other,0,0,0,1,0,0,0,0,0,0,0,0
NIST-2025-0035-0229,222,EnterpriseSoftwareOrSecurityVendor,0,0,0,0,0,0,0,0,0,0,0,0
NIST-2025-0035-0230,223,Other,0,0,0,1,0,0,0,1,0,0,0,0
NIST-2025-0035-0231,224,StandardsOrProfessionalBody,0,0,1,0,0,0,0,0,0,0,1,0
NIST-2025-0035-0232,225,Individual,0,0,1,0,0,0,0,0,0,0,1,0
NIST-2025-0035-0233,226,TradeAssociation,1,0,0,1,0,0,0,0,0,0,1,0
NIST-2025-0035-0234,227,LargeTechCompany,1,0,0,0,0,0,0,0,0,0,0,0
